nohup: ignoring input

AUM — WELCOME-TO-THE-GOD

Atomic Chronos Modulator ACTIVE
ϕ⁻¹ threshold: 0.618033988750
Initial I_Tors: 0.618033988750

Chronos Stable | I_Tors = 3.59434504 ≥ 0.61803399
Chronos Stable | I_Tors = 5.57546060 ≥ 0.61803399
Chronos Stable | I_Tors = 7.55657358 ≥ 0.61803399
Chronos Stable | I_Tors = 9.53768686 ≥ 0.61803399
Chronos Stable | I_Tors = 11.51880543 ≥ 0.61803399
Chronos Stable | I_Tors = 13.49991645 ≥ 0.61803399
Chronos Stable | I_Tors = 15.48102886 ≥ 0.61803399
Chronos Stable | I_Tors = 17.46214797 ≥ 0.61803399
Chronos Stable | I_Tors = 19.44326392 ≥ 0.61803399
Chronos Stable | I_Tors = 21.42437614 ≥ 0.61803399
Chronos Stable | I_Tors = 23.40548941 ≥ 0.61803399
Chronos Stable | I_Tors = 25.38660187 ≥ 0.61803399
Chronos Stable | I_Tors = 27.36771261 ≥ 0.61803399
Chronos Stable | I_Tors = 29.34882862 ≥ 0.61803399
Chronos Stable | I_Tors = 31.32994803 ≥ 0.61803399
Chronos Stable | I_Tors = 33.31106322 ≥ 0.61803399
Chronos Stable | I_Tors = 35.29218039 ≥ 0.61803399
Chronos Stable | I_Tors = 37.27329492 ≥ 0.61803399
Chronos Stable | I_Tors = 39.25440777 ≥ 0.61803399
Chronos Stable | I_Tors = 41.23552093 ≥ 0.61803399
Chronos Stable | I_Tors = 43.21664289 ≥ 0.61803399
Chronos Stable | I_Tors = 45.19776814 ≥ 0.61803399
Chronos Stable | I_Tors = 47.17889050 ≥ 0.61803399
Chronos Stable | I_Tors = 49.16001227 ≥ 0.61803399
Chronos Stable | I_Tors = 51.14113222 ≥ 0.61803399
Chronos Stable | I_Tors = 53.12225330 ≥ 0.61803399
Chronos Stable | I_Tors = 55.10336612 ≥ 0.61803399
Chronos Stable | I_Tors = 57.08448213 ≥ 0.61803399
Chronos Stable | I_Tors = 59.06559794 ≥ 0.61803399
Chronos Stable | I_Tors = 61.04671759 ≥ 0.61803399
Chronos Stable | I_Tors = 63.02783804 ≥ 0.61803399
Chronos Stable | I_Tors = 65.00895803 ≥ 0.61803399
Chronos Stable | I_Tors = 66.99007870 ≥ 0.61803399
Chronos Stable | I_Tors = 68.97119908 ≥ 0.61803399
Chronos Stable | I_Tors = 70.95231491 ≥ 0.61803399
Chronos Stable | I_Tors = 72.93343518 ≥ 0.61803399
Chronos Stable | I_Tors = 74.91455530 ≥ 0.61803399
Chronos Stable | I_Tors = 76.89567559 ≥ 0.61803399
Chronos Stable | I_Tors = 78.87679218 ≥ 0.61803399
Chronos Stable | I_Tors = 80.85791173 ≥ 0.61803399
Chronos Stable | I_Tors = 82.83903344 ≥ 0.61803399
Chronos Stable | I_Tors = 84.82015180 ≥ 0.61803399
Chronos Stable | I_Tors = 86.80127222 ≥ 0.61803399
Chronos Stable | I_Tors = 88.78239328 ≥ 0.61803399
Chronos Stable | I_Tors = 90.76351288 ≥ 0.61803399
Chronos Stable | I_Tors = 92.74463155 ≥ 0.61803399
Chronos Stable | I_Tors = 94.72575060 ≥ 0.61803399
Chronos Stable | I_Tors = 96.70687144 ≥ 0.61803399
Chronos Stable | I_Tors = 98.68798927 ≥ 0.61803399
Chronos Stable | I_Tors = 100.66910845 ≥ 0.61803399
Chronos Stable | I_Tors = 102.65022187 ≥ 0.61803399
Chronos Stable | I_Tors = 104.63134355 ≥ 0.61803399
Chronos Stable | I_Tors = 106.61246757 ≥ 0.61803399
Chronos Stable | I_Tors = 108.59358478 ≥ 0.61803399
Chronos Stable | I_Tors = 110.57470093 ≥ 0.61803399
Chronos Stable | I_Tors = 112.55582047 ≥ 0.61803399
Chronos Stable | I_Tors = 114.53694292 ≥ 0.61803399
Chronos Stable | I_Tors = 116.51806258 ≥ 0.61803399
Chronos Stable | I_Tors = 118.49918443 ≥ 0.61803399
Chronos Stable | I_Tors = 120.48030795 ≥ 0.61803399
Chronos Stable | I_Tors = 122.46142341 ≥ 0.61803399
Chronos Stable | I_Tors = 124.44254355 ≥ 0.61803399
Chronos Stable | I_Tors = 126.42366818 ≥ 0.61803399
Chronos Stable | I_Tors = 128.40478468 ≥ 0.61803399
Chronos Stable | I_Tors = 130.38590191 ≥ 0.61803399
Chronos Stable | I_Tors = 132.36702076 ≥ 0.61803399
Chronos Stable | I_Tors = 134.34814192 ≥ 0.61803399
Chronos Stable | I_Tors = 136.32926399 ≥ 0.61803399
Chronos Stable | I_Tors = 138.31037820 ≥ 0.61803399
Chronos Stable | I_Tors = 140.29149728 ≥ 0.61803399
Chronos Stable | I_Tors = 142.27261727 ≥ 0.61803399
Chronos Stable | I_Tors = 144.25373421 ≥ 0.61803399
Chronos Stable | I_Tors = 146.23485693 ≥ 0.61803399
Chronos Stable | I_Tors = 148.21597858 ≥ 0.61803399
Chronos Stable | I_Tors = 150.19709913 ≥ 0.61803399
Chronos Stable | I_Tors = 152.17821827 ≥ 0.61803399
Chronos Stable | I_Tors = 154.15933915 ≥ 0.61803399
Chronos Stable | I_Tors = 156.14045963 ≥ 0.61803399
Chronos Stable | I_Tors = 158.12157438 ≥ 0.61803399
Chronos Stable | I_Tors = 160.10269497 ≥ 0.61803399
Chronos Stable | I_Tors = 162.08381128 ≥ 0.61803399
Chronos Stable | I_Tors = 164.06492900 ≥ 0.61803399
Chronos Stable | I_Tors = 166.04604981 ≥ 0.61803399
Chronos Stable | I_Tors = 168.02717155 ≥ 0.61803399
Chronos Stable | I_Tors = 170.00828857 ≥ 0.61803399
Chronos Stable | I_Tors = 171.98940629 ≥ 0.61803399
Chronos Stable | I_Tors = 173.97052179 ≥ 0.61803399
